,time,stg,lat,lon,depth,xx,yy,label,clipped_stns,clipped_binary,n_clipped_stns,Mw
47728,2018-12-17T12:39:39.600100Z,41.0,53.788886,-2.965318,2.277344,336500.47807041265,432938.5247248905,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0566173464886006
47729,2018-12-17T12:39:43.978000Z,41.0,53.788273,-2.965578,2.311719,336482.4231039583,432870.5599494126,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47730,2018-12-17T12:39:44.553200Z,41.0,53.789232,-2.966291,2.324609,336436.8998543564,432977.8907741404,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47731,2018-12-17T12:39:45.535500Z,41.0,53.788388,-2.965253,2.384766,336504.0081312959,432883.06262276985,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0802007692887408
47732,2018-12-17T12:39:49.481600Z,41.0,53.789193,-2.965577,2.2601560000000003,336483.8789492712,432972.9114946596,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.9324851053173866
47733,2018-12-17T12:39:55.448600Z,41.0,53.789807,-2.966096,2.208594,336450.6155640222,433041.68607587577,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0127852107399289
47734,2018-12-17T12:40:20.876200Z,41.0,53.788886,-2.965058,2.294531,336517.606898932,432938.2916877708,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.0049837368323038
47735,2018-12-17T12:40:22.343600Z,41.0,53.787966,-2.965838,2.397656,336464.8300889001,432836.6385742506,MLnew,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-1.4243172794235797
47736,2018-12-17T12:40:23.795300Z,41.0,53.788848,-2.965512,2.350391,336487.6399214991,432934.47104610014,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
47737,2018-12-17T12:41:01.996800Z,41.0,53.78915500000001,-2.966551,2.316016,336419.6547159287,432969.5576522615,MLsame,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,
